Country,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population,Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Production),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,Year,Other renewables,Biofuels consumption,Solar consumption,Wind consumption,Hydro consumption,Nuclear consumption,Gas consumption,Coal consumption,Oil consumption,CO2 emissions,Urbanization
Burundi,54.0,62,0.43,751.762,Africa,LI, 11.5 ,0.3,0.1,0.2,0.0,0.0,0.1,0.6,0.3,0.1,0.2,0.0,0.0,0.1,0.6,0.3,0.1,0.0,0.0,0.1,0.4,(0.3),0.4,1.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,688832,0.13
Cabo Verde,,76,0.68,7167.75,Africa,LM, 0.6 ,,,,,,,1.3,,,,,,,1.3,,,,,,0.4,(0.8),0.8,2.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cambodia,63.4,71,0.60,4638.22,Asia-Pacific,LI, 16.5 ,,,,,,,1.2,,,,,,,1.4,,,,,,1.0,(0.4),0.9,1.4,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18629300,0.24
Cameroon,55.3,62,0.58,3743.72,Africa,LM, 25.9 ,0.6,0.1,0.3,0.1,0.0,0.1,1.1,0.6,0.1,0.2,0.2,0.1,0.1,1.1,0.6,0.1,0.8,0.1,0.1,1.5,0.4 ,0.7,0.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9605969,0.57
Canada,77.7,82,0.94,49560.8,North America,HI, 37.4 ,2.7,0.3,2.6,5.0,0.2,0.0,10.8,1.4,0.3,1.2,4.9,0.1,0.0,7.9,2.7,0.3,8.2,3.2,0.0,14.5,6.6 ,5.1,0.5,2019,32.902954,24.754562,10.754235,86.6591,1006.336,254.19629,1186.5425,169.15443,1296.5503,582024960,0.81
Central African Republic,39.0,55,0.41,945.181,Africa,LI, 4.7 ,0.4,0.5,0.3,0.0,0.0,0.0,1.2,0.4,0.5,0.2,0.0,0.0,0.0,1.2,0.4,0.5,5.9,0.0,0.0,6.9,5.7 ,0.8,0.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,227168,0.42
Chad,41.4,53,0.40,1594.97,Africa,LI, 15.9 ,0.4,0.9,0.2,0.0,0.0,0.0,1.5,0.4,0.9,0.2,0.0,0.0,0.0,1.5,0.4,0.9,0.3,0.1,0.0,1.6,0.1 ,1.0,1.0,2019,0,0,0,0,0,0,0,0,0,2299469,0.23
Chile,77.7,80,0.86,23916.6,South America,UM, 19.0 ,0.4,0.2,2.0,1.7,0.3,0.1,4.6,0.6,0.5,1.0,1.7,0.1,0.1,4.0,0.4,0.4,2.1,0.4,0.1,3.3,(0.7),2.6,1.2,2019,25.184582,0,16.607224,12.903667,56.51611,0,65.13059,87.08458,210.55196,91977080,0.88
China,72.0,78,0.76,15893,Asia-Pacific,UM, 1.465.6 ,0.3,0.1,0.1,2.6,0.1,0.1,3.2,0.4,0.1,0.2,2.5,0.1,0.1,3.5,0.3,0.1,0.2,0.0,0.1,0.8,(2.7),2.3,4.4,2019,359.75897,36.052834,590.45776,1068.3596,3354.375,882.02563,3083.7683,22922.236,7891.5103,10713984000,0.6
Colombia,70.5,77,0.77,14999.8,South America,UM, 50.3 ,0.5,0.7,0.1,0.5,0.0,0.1,1.9,0.7,0.7,0.1,0.6,0.0,0.1,2.2,0.5,1.1,2.0,0.1,0.1,3.8,1.6 ,1.4,0.6,2019,7.802155,9.618584,0.34810638,0.16690972,143.49442,0,128.70773,53.641968,219.41248,94497930,0.81
Comoros, ,64,0.56,2978.79,Africa,LI, 0.9 ,,,,,,,1.6,,,,,,,2.0,,,,,,0.4,(1.6),1.3,5.5,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,311440,0.29
Congo,52.9,63,0.57,4496.77,Africa,LM, 5.4 ,0.2,0.0,0.4,0.2,0.1,0.1,1.0,0.3,0.1,0.3,0.3,0.1,0.1,1.1,0.2,2.4,5.4,0.3,0.1,8.4,7.3 ,0.7,0.1,2019,0,0,0,0,0,0,0,0,0,7293597,0.67
"Congo, Democratic Republic of",50.0,60,0.48,1083.95,Africa,LI, 86.8 ,0.2,0.0,0.4,0.0,0.0,0.1,0.7,0.2,0.0,0.4,0.0,0.0,0.1,0.7,0.2,0.2,1.5,0.0,0.1,2.0,1.3 ,0.5,0.4,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Costa Rica,74.0,79,0.82,20271.6,Central America/Caribbean,UM, 5.0 ,0.3,0.3,0.4,0.5,0.1,0.3,1.9,0.4,0.2,0.6,1.0,0.3,0.3,2.8,0.3,0.3,0.7,0.1,0.3,1.6,(1.1),1.8,1.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7698382,0.8
Côte d'Ivoire, , , , ,Africa,LM, 25.7 ,0.6,0.0,0.2,0.1,0.0,0.0,1.0,0.2,0.1,0.2,0.2,0.2,0.0,0.9,0.6,0.4,0.1,0.0,0.0,1.2,0.3 ,0.6,0.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,78.2,78,0.86,29314.6,Other Europe,HI, 4.1 ,0.7,0.1,0.7,1.4,0.1,0.1,3.1,0.8,0.2,0.7,1.9,0.1,0.1,3.8,0.7,0.1,1.1,0.4,0.1,2.5,(1.3),2.5,1.5,2019,3.0364902,0.72754997,0.21904917,3.867762,15.357438,0,27.981422,4.8999634,39.723515,17830288,0.57
Cuba,74.1,78,0.79,,Central America/Caribbean,UM, 11.3 ,0.6,0.1,0.1,0.7,0.0,0.1,1.6,0.9,0.1,0.1,0.8,0.0,0.1,2.0,0.6,0.1,0.2,0.2,0.1,1.2,(0.9),1.3,1.7,2019,0,0,0,0,0,0,0,0,0,22494244,0.77
Cyprus,73.7,81,0.90,41826.9,EU-28,HI, 1.2 ,,,,,,,2.2,,,,,,,3.6,,,,,,0.4,(3.2),2.3,9.1,2019,0.18489249,0.12489555,0.5753459,0.6288508,0,0,0,0.1943486,30.785168,7344204,0.67
Czech Republic,80.0,79,0.90,41223.2,EU-28,HI, 10.7 ,1.0,0.1,2.0,3.1,0.0,0.1,6.3,1.0,0.3,1.1,3.2,0.0,0.1,5.7,1.0,0.1,1.2,0.0,0.1,2.4,(3.3),3.7,2.3,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Denmark,85.4,81,0.95,57410,EU-28,HI, 5.8 ,1.8,0.0,0.3,1.7,0.4,0.2,4.5,2.1,0.4,1.1,2.8,0.8,0.2,7.3,1.8,0.0,0.4,1.8,0.2,4.3,(3.0),4.7,1.7,2019,18.971735,2.7284744,2.5391517,42.570515,0.044692773,0,28.977777,10.575361,89.638176,30941816,0.88
Djibouti,50.3,63,0.51,5508.43,Africa,LM, 1.0 ,0.0,0.2,0.1,0.3,0.1,0.2,0.9,1.3,0.0,0.3,0.3,0.1,0.2,2.2,0.0,0.2,0.0,0.2,0.2,0.7,(1.5),1.4,3.4,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,543233,0.78
Dominica,,74,0.73,12922.5,Central America/Caribbean,UM, 0.1 ,,,,,,,1.7,,,,,,,3.0,,,,,,1.0,(2.0),1.9,2.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172208,0.71
Dominican Republic,70.7,74,0.77,19090.5,Central America/Caribbean,UM, 10.7 ,0.3,0.1,0.0,0.8,0.0,0.1,1.4,0.5,0.1,0.1,1.0,0.1,0.1,1.9,0.3,0.1,0.2,0.0,0.1,0.7,(1.2),1.2,2.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28374692,0.82
Ecuador,71.9,77,0.76,11440.2,South America,UM, 17.4 ,,,,,,,2.2,,,,,,,1.8,,,,,,1.9,0.1 ,1.2,0.9,2019,1.4515699,0.26871833,0.10016694,0.22544666,64.952995,0,6.922094,0.0995275,137.31258,40061816,0.64
Egypt,67.6,71,0.74,11940.2,Africa,LM, 100.4 ,,,,,,,1.1,,,,,,,1.6,,,,,,0.3,(1.3),1.0,5.1,2019,0,0,3.924963,13.126317,37.11317,0,590.3868,22.94092,383.61386,258741600,0.43
El Salvador,69.7,73,0.68,8795.31,Central America/Caribbean,LM, 6.5 ,0.2,0.1,0.3,0.4,0.2,0.1,1.3,0.4,0.2,0.4,0.7,0.1,0.1,2.0,0.2,0.1,0.1,0.1,0.1,0.6,(1.4),1.3,3.3,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7553099,0.73
Equatorial Guinea,,62,0.61,18446.5,Africa,HI, 1.4 ,0.1,0.0,0.7,0.9,0.0,0.0,1.8,0.2,0.0,0.4,0.9,0.1,0.0,1.6,0.1,0.1,2.2,0.5,0.0,2.9,1.2 ,1.1,0.6,2019,0,0,0,0,0,0,0,0,0,5534618,0.73
Eritrea,,67,0.50,1761.13,Africa,LI, 3.5 ,0.1,0.3,0.1,0.1,0.0,0.0,0.7,0.2,0.3,0.1,0.1,0.0,0.0,0.8,0.1,0.3,0.1,1.5,0.0,2.1,1.3 ,0.5,0.4,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,644997,0.41
Estonia,80.5,79,0.90,36488.5,EU-28,HI, 1.3 ,1.4,0.1,4.7,2.5,0.2,0.1,9.1,1.0,0.2,3.8,2.7,0.1,0.1,7.9,1.4,0.1,3.8,4.3,0.1,9.8,1.9 ,5.1,0.8,2019,4.3509746,0.30089167,0.19374388,1.810913,0.050083607,0,4.660554,35.804756,15.5887375,12288099,0.69
Eswatini,54.6,61,0.62,8910.12,Africa,LM, 1.1 ,0.3,0.4,1.2,0.3,0.0,0.5,2.7,0.4,0.5,0.9,0.7,0.0,0.5,3.1,0.3,0.5,0.0,0.0,0.5,1.4,(1.7),2.0,2.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1121184,0.24
Ethiopia,56.4,66,0.50,2641.01,Africa,LI, 112.1 ,0.3,0.1,0.4,0.0,0.0,0.0,0.9,0.3,0.1,0.4,0.1,0.0,0.0,0.9,0.3,0.1,0.1,0.0,0.0,0.5,(0.4),0.6,1.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17235700,0.21
